city,country,meal_inexpensive,meal_for_2_midrange,mcmeal,domestic_beer_restaurant,imported_beer_restaurant,cappuccino,coke_pepsi_restaurant,water_restaurant,milk,bread,rice,eggs,cheese,chicken,beef,apples,banana,oranges,tomato,potato,onion,lettuce,water_market,wine,domestic_beer_market,imported_beer_market,cigarettes,one_way_ticket,monthly_pass,taxi_start,taxi_1km,taxi_1hour_waiting,gasoline,vw_golf,toyota_corolla,utilities_85m2,mobile_tariff,internet,fitness_club,tennis_court,cinema,preschool,intl_primary_school,jeans,summer_dress,nike_shoes,leather_shoes,apt_1bed_city,apt_1bed_outside,apt_3bed_city,apt_3bed_outside,price_sqm_city,price_sqm_outside,avg_salary,mortgage_rate,data_quality
Berlin,Germany,12.64,63.22,9.48,4.21,4.21,3.37,2.52,1.95,1.19,1.7,2.43,2.99,12.69,9.87,14.43,2.69,1.82,2.55,3.17,2.0,1.5,1.42,0.69,5.9,1.13,1.59,8.43,3.16,89.57,4.21,2.27,34.77,2.16,31580.74,28145.4,308.3,0.11,40.24,40.57,20.11,12.64,191.06,8781.21,88.38,37.06,85.48,110.25,1321.9,967.17,2447.03,1736.85,8604.37,5679.69,3158.05,2.18,1
Hamburg,Germany,14.75,63.22,9.48,4.74,4.21,3.59,2.8,2.3,1.18,2.38,2.27,3.75,12.11,9.0,14.18,2.97,1.84,2.3,2.06,1.46,0.98,1.22,0.71,7.38,0.72,1.43,7.9,3.44,96.94,4.32,2.07,35.72,2.24,27882.1,36598.08,287.14,0.12,37.75,55.36,31.48,15.81,611.17,24687.75,92.23,44.37,108.62,151.8,1111.22,844.66,2101.64,1610.25,9257.9,5938.61,3164.03,1.98,1
Munich,Germany,15.81,65.86,9.48,4.21,4.21,3.59,3.15,2.89,1.28,1.94,2.43,3.34,13.79,10.49,19.58,3.01,1.87,2.51,2.87,2.06,1.34,1.54,0.83,7.38,1.06,1.97,8.11,3.69,62.28,4.95,2.11,31.61,2.22,26132.88,23480.74,302.81,0.11,37.72,40.64,25.11,12.64,675.85,17023.84,91.81,37.83,94.33,121.13,1427.72,1061.23,2599.04,1943.52,12962.21,9517.5,3467.43,2.02,1
Cologne,Germany,13.7,55.32,9.48,3.69,3.06,2.85,2.36,1.89,1.1,1.94,2.19,2.73,12.26,10.29,14.05,2.77,1.67,2.3,1.41,1.91,1.22,1.61,0.65,5.27,0.56,2.16,8.43,3.16,101.16,3.95,2.16,31.61,2.2,24441.62,28978.78,279.73,0.13,35.39,34.71,29.07,12.64,577.1,12223.44,86.27,30.56,80.61,116.88,921.15,700.43,1712.34,1265.2,6019.52,4662.82,2480.27,2.67,1
Frankfurt,Germany,14.75,63.22,9.05,4.21,3.69,3.37,2.88,2.69,1.12,1.8,2.26,2.87,12.47,10.35,16.26,2.77,1.73,2.16,1.7,1.85,0.98,1.4,0.53,6.32,0.91,1.28,7.59,2.9,98.1,3.69,1.9,34.77,2.25,26343.63,24847.31,341.76,0.1,38.65,47.13,21.73,12.91,765.68,12223.44,86.4,37.35,96.63,133.69,1169.07,907.33,2201.47,1605.41,10344.27,7393.78,3365.64,2.88,1
Dusseldorf,Germany,11.59,59.54,9.48,4.74,4.21,3.37,2.9,2.56,1.1,2.33,2.29,2.72,15.67,9.27,16.51,2.45,1.73,2.1,1.47,2.2,1.26,1.73,0.62,6.32,0.58,1.42,7.9,3.16,84.3,4.9,2.32,36.67,2.26,26343.63,23656.58,217.42,0.12,32.03,33.82,21.25,12.64,332.98,21053.83,109.14,39.14,84.77,109.89,1024.47,778.45,1886.91,1408.78,6996.87,5729.74,3245.42,1.88,1
Stuttgart,Germany,12.64,63.22,9.64,4.21,4.21,3.26,3.02,2.68,1.19,2.01,2.36,2.92,13.3,8.3,13.4,2.23,1.67,2.44,2.15,1.97,1.37,1.27,0.64,5.27,0.69,1.7,7.75,2.9,76.08,3.69,2.42,33.19,2.24,24236.14,25393.5,239.55,0.12,35.23,45.44,20.81,12.64,391.2,12047.37,81.84,32.21,70.47,111.3,1053.75,862.77,1885.85,1369.87,8745.16,6332.26,3411.99,2.61,1
Leipzig,Germany,9.48,52.69,8.43,4.21,3.69,3.3,2.81,2.49,1.07,1.55,1.83,2.38,12.07,8.32,13.35,2.4,1.7,2.01,1.4,1.39,0.97,1.23,0.48,5.27,0.61,1.48,7.9,3.16,85.35,3.69,2.63,25.29,2.29,25289.89,22831.15,238.91,0.14,39.37,29.39,31.61,10.54,207.06,6322.47,65.48,44.78,79.27,85.8,581.54,406.28,1424.66,983.93,6322.47,2704.61,2231.31,1.87,1
Dortmund,Germany,12.64,52.69,8.43,3.64,3.16,3.14,2.07,2.04,1.06,2.21,2.49,3.68,13.07,7.82,17.91,2.87,1.68,2.4,0.83,2.03,0.94,1.84,0.91,5.27,0.56,1.58,7.38,3.16,73.76,3.69,2.0,31.61,2.32,26343.63,26343.63,297.52,0.12,37.5,25.74,20.02,14.75,245.87,,90.62,39.52,73.76,114.16,700.74,386.37,1527.93,843.0,3582.73,2423.61,2646.41,2.5,1
Essen,Germany,11.59,55.32,8.69,4.0,3.16,3.01,2.63,1.79,0.98,1.77,2.07,2.89,12.9,7.33,13.0,2.21,1.71,1.9,0.83,2.11,0.94,1.43,0.4,3.95,0.56,2.0,7.38,3.16,84.3,4.21,2.11,33.51,2.32,17913.67,18967.41,233.34,0.17,39.52,20.42,45.66,10.54,305.59,10748.2,86.93,52.69,80.35,121.18,965.93,447.84,1053.75,965.93,,,2928.53,1.96,1
Bremen,Germany,12.64,52.69,10.53,4.74,3.16,3.34,2.02,2.33,1.2,1.73,1.96,2.64,15.07,7.43,20.37,3.15,1.68,2.07,0.85,2.24,1.02,1.47,0.52,5.26,0.63,1.65,7.48,3.0,71.44,3.69,2.42,31.61,2.28,24236.14,22128.65,222.28,0.1,36.88,25.95,13.17,10.27,453.18,19626.0,83.77,36.18,82.72,104.85,658.59,504.29,1304.01,912.37,4214.98,3108.55,2300.6,2.72,1
Dresden,Germany,10.54,47.42,8.96,3.69,3.69,3.14,2.97,2.26,1.03,1.04,2.31,2.4,11.03,7.26,10.53,2.07,1.73,2.43,1.41,1.42,1.11,1.21,0.9,5.8,0.69,1.26,8.43,2.63,67.02,4.11,2.37,26.87,2.3,23182.39,25835.73,249.36,0.09,32.9,36.13,22.66,10.54,242.07,10379.39,90.92,42.15,90.32,121.78,577.66,465.4,1141.56,869.93,4394.12,3319.3,2579.58,2.62,1
Hannover,Germany,10.54,57.96,8.43,5.01,4.21,3.36,2.98,3.01,0.99,2.36,2.1,2.76,10.1,7.83,17.07,3.29,1.74,2.13,1.28,1.64,1.08,1.11,0.5,5.27,0.66,1.73,8.42,3.21,73.76,3.37,2.08,31.61,2.32,23182.39,22892.61,231.32,0.13,32.27,40.64,20.65,12.64,395.68,14489.0,86.99,44.65,89.92,120.24,755.18,530.82,1299.53,1061.27,5268.73,3898.86,2664.16,1.96,1
Nuremberg,Germany,10.54,52.69,8.43,3.69,4.21,3.14,2.96,3.11,0.98,1.6,1.88,2.69,13.42,7.52,12.63,2.44,1.68,2.17,1.51,1.37,1.1,1.1,0.55,4.74,0.73,1.38,7.64,2.95,84.3,3.69,1.9,27.4,2.29,24201.37,26132.88,236.07,0.12,34.94,29.5,23.58,12.64,364.6,13501.11,85.94,46.1,84.53,123.68,713.91,493.5,1440.12,978.07,6023.49,4441.65,2992.03,1.97,1
Duisburg,Germany,10.54,47.42,9.48,4.06,4.21,3.06,2.85,2.56,1.06,1.13,2.02,2.72,10.74,6.0,9.47,2.45,1.67,2.1,1.28,1.04,0.97,0.98,0.33,5.79,0.58,1.42,7.38,3.06,89.57,4.9,2.11,31.61,2.26,26343.63,20021.16,386.53,0.12,32.03,21.04,27.4,10.54,252.9,8956.83,78.68,36.85,79.03,101.86,435.55,463.65,913.25,562.0,3161.24,2634.36,2123.3,1.38,0
Bochum,Germany,13.17,52.69,8.32,3.69,3.16,2.42,1.98,1.45,0.97,1.4,2.1,2.47,12.07,6.13,10.89,2.5,1.68,1.96,0.94,0.73,1.15,1.09,0.8,5.26,0.74,2.04,7.59,3.0,84.3,3.48,2.0,33.19,2.32,12644.94,18967.41,214.76,0.2,31.35,22.13,7.9,12.64,149.1,,57.96,54.0,94.84,126.45,553.22,421.5,1159.12,948.37,2107.49,1896.74,1685.99,1.73,1
Wuppertal,Germany,13.7,44.78,8.43,3.69,3.16,3.64,2.27,2.39,1.0,1.58,2.28,1.96,10.75,8.4,11.06,3.35,1.66,2.89,0.87,1.32,0.94,0.94,0.35,4.16,0.63,1.71,8.06,3.06,74.82,3.27,1.95,27.82,2.17,28451.12,26343.63,201.77,0.12,35.56,25.55,10.01,10.01,158.06,,75.08,37.93,79.03,97.47,368.81,393.75,816.65,737.62,,2845.11,3628.4,1.55,0
Bielefeld,Germany,10.54,47.42,9.48,4.21,3.16,3.34,2.11,1.77,0.96,2.53,2.1,2.64,9.37,8.29,24.74,2.57,1.68,2.7,0.83,1.32,1.4,0.82,0.68,5.27,0.62,1.48,7.38,2.95,94.84,6.43,2.11,34.77,2.28,33445.87,26317.29,304.66,0.09,30.73,29.85,26.34,12.64,360.91,10010.58,87.67,33.02,84.09,96.15,590.1,783.72,1659.65,1279.25,4267.67,3477.36,2502.64,2.4,1
Bonn,Germany,15.81,73.76,8.43,4.48,4.21,3.05,2.24,1.87,1.01,1.19,2.02,2.53,11.64,8.54,23.18,2.56,1.68,2.23,1.0,1.19,0.94,1.42,0.44,5.27,0.56,1.47,7.9,3.16,115.91,3.69,2.0,39.2,2.27,25822.03,25629.72,284.99,0.1,36.06,41.23,21.29,11.59,511.07,16859.92,78.89,36.22,92.73,101.95,667.37,618.2,2212.86,1752.73,6322.47,3951.54,2284.26,2.66,1
Munster,Germany,10.54,47.42,8.43,4.9,3.9,2.92,2.11,1.56,0.97,2.37,2.07,2.45,9.94,7.29,12.64,2.98,1.68,1.98,0.83,2.21,0.94,0.91,0.59,5.26,0.56,1.21,7.06,4.9,72.44,3.69,2.32,27.82,2.32,20806.2,22652.01,267.98,0.09,28.79,44.52,17.56,9.48,351.25,12644.94,84.12,28.1,82.37,99.93,843.0,635.76,1422.56,929.4,4510.03,1680.72,1882.69,1.87,1
Mannheim,Germany,11.59,63.22,8.43,4.21,3.42,2.94,2.58,2.42,0.98,1.58,1.77,2.09,14.01,7.61,20.81,2.81,1.68,2.09,0.96,1.87,0.96,1.26,0.42,4.74,0.58,1.31,7.59,2.85,79.03,3.69,2.27,31.61,2.3,26870.5,24938.64,274.63,0.18,34.9,36.76,23.71,12.64,520.29,9615.43,81.67,33.37,100.9,123.82,916.76,504.74,1277.14,995.79,4741.85,5268.73,3020.74,2.13,1
Karlsruhe,Germany,11.59,63.22,9.45,4.21,3.9,3.08,3.03,2.11,0.99,1.19,2.16,2.7,13.75,8.25,24.94,2.46,1.68,2.02,0.83,2.28,0.94,1.3,0.46,5.53,0.57,1.33,7.38,2.95,70.6,3.69,2.32,31.61,2.31,21074.9,25421.6,237.95,0.1,38.75,39.14,33.72,10.54,392.52,9799.83,94.13,43.03,91.91,135.82,698.11,652.0,1506.86,1211.81,4741.85,4039.36,2893.81,1.45,1
Augsburg,Germany,12.64,63.22,9.48,3.37,3.16,3.06,2.02,1.76,1.13,3.16,2.0,2.72,13.07,5.95,12.64,2.99,1.68,2.1,0.83,1.76,0.94,1.3,0.6,6.85,0.57,1.19,7.38,3.37,64.02,4.0,1.9,37.93,2.32,26870.5,22831.15,239.46,0.1,34.39,37.76,17.39,10.54,331.93,12118.07,86.93,38.2,77.98,142.26,890.41,591.85,1422.56,1238.15,6322.47,5268.73,2271.06,1.42,1
Wiesbaden,Germany,12.64,56.9,9.48,4.43,3.42,3.3,2.82,2.34,0.98,1.38,2.55,2.64,12.72,8.43,23.18,3.07,1.72,2.25,0.9,1.89,1.26,1.47,0.53,7.37,0.67,1.83,8.01,3.08,89.83,3.42,3.06,42.36,2.28,28451.12,25289.89,176.5,0.21,39.78,52.69,18.97,10.54,474.19,8166.53,91.94,38.29,94.49,150.16,737.62,734.11,1369.87,1211.81,5230.09,5057.98,2867.07,,1
Gelsenkirchen,Germany,10.54,47.42,8.43,4.06,3.95,3.03,2.85,2.54,1.0,1.13,2.02,3.06,10.74,6.0,9.47,2.35,1.67,2.23,1.28,1.04,0.97,0.98,0.33,5.27,0.65,1.21,7.38,2.85,,4.21,2.11,28.45,2.21,21074.9,20021.16,314.72,0.12,29.31,23.68,,10.54,252.9,8956.83,78.68,36.85,79.03,83.91,474.19,579.56,737.62,632.25,,,2687.05,1.3,0
Monchengladbach,Germany,10.54,52.69,7.9,3.69,3.06,2.7,2.32,1.83,1.1,1.94,1.58,2.73,12.26,7.11,13.16,2.63,1.67,1.32,0.83,1.13,1.05,1.61,0.62,5.26,0.56,2.16,7.59,3.06,84.3,3.16,2.11,37.93,2.2,24441.62,28978.78,269.06,0.13,35.39,24.24,,10.54,142.26,12223.44,68.49,30.56,80.61,84.3,474.19,421.5,895.68,790.31,2107.49,2107.49,2353.01,1.9,0
Aachen,Germany,10.54,52.69,8.43,3.69,4.21,2.93,2.35,2.31,1.01,1.09,1.91,2.58,10.62,9.96,15.82,2.33,1.66,2.2,0.97,1.69,1.4,1.09,0.5,6.32,0.63,1.34,8.01,3.06,73.76,4.0,2.0,31.61,2.32,18440.54,23533.64,244.06,0.12,31.17,25.17,16.33,10.54,509.8,12644.94,91.37,43.47,81.27,104.06,641.56,443.82,1217.66,955.62,7709.9,4443.29,2824.1,2.24,1
Braunschweig,Germany,8.17,68.49,9.48,3.69,4.21,3.55,2.77,2.0,0.97,2.57,2.15,2.88,14.19,7.66,13.38,2.28,1.68,2.1,0.83,0.53,0.94,1.16,0.63,5.26,0.64,1.75,7.38,3.16,70.6,3.27,2.37,27.82,2.35,32666.1,22655.52,275.78,,45.63,26.08,16.86,12.12,632.25,24236.14,99.58,42.15,98.35,105.37,445.73,417.99,1475.24,1062.53,3327.2,2581.68,3277.67,2.15,1
Kiel,Germany,11.38,52.69,8.42,4.11,3.16,3.4,2.19,2.99,1.01,1.92,2.14,2.41,11.23,6.65,13.34,2.1,1.7,2.45,1.26,1.18,0.98,1.09,0.48,5.27,0.58,1.23,8.43,2.74,64.28,3.64,2.05,25.29,2.3,25816.76,29504.87,224.8,0.1,32.66,29.85,21.07,12.64,304.53,11591.2,79.03,38.64,99.84,133.47,807.87,488.94,1593.79,1072.71,3688.11,2634.36,2476.3,2.23,1
Chemnitz,Germany,10.54,47.42,8.43,3.69,4.11,3.09,2.96,3.11,0.93,1.5,1.88,2.05,11.8,6.29,12.63,2.37,1.6,2.16,1.13,1.16,0.91,1.1,0.4,4.74,0.55,1.26,7.64,2.53,61.12,3.69,1.9,26.34,2.17,24201.37,26132.88,236.07,0.12,34.94,28.98,22.13,12.64,189.67,3161.24,68.23,30.2,64.54,112.05,562.0,368.81,816.65,632.25,3161.24,2634.36,2125.05,1.97,0
Halle,Germany,10.01,44.78,8.43,3.69,3.53,2.7,2.72,2.46,0.85,1.32,1.92,2.67,13.07,7.66,12.64,2.29,1.68,2.08,0.83,1.16,0.94,1.36,0.52,4.21,0.56,1.58,7.01,2.53,68.97,3.64,1.79,26.55,2.28,26343.63,31612.36,139.4,0.1,31.48,38.29,21.07,10.01,368.81,14225.56,50.93,28.98,80.79,105.37,479.45,344.22,1071.31,413.59,,,2107.49,1.64,0
Magdeburg,Germany,12.64,63.22,8.43,3.95,4.21,3.03,2.18,1.95,1.08,1.19,2.01,2.25,9.27,5.12,10.54,2.4,1.68,1.96,0.97,1.11,0.97,1.42,0.57,5.26,0.56,1.4,7.06,2.79,68.49,3.69,2.0,25.29,2.16,26343.63,21074.9,308.3,0.1,35.01,21.29,9.48,10.27,191.06,8781.21,40.83,37.06,79.03,89.57,453.11,389.89,843.0,684.93,2212.86,1791.37,1844.05,1.96,0
Freiburg im Breisgau,Germany,12.12,62.17,9.48,4.21,3.69,3.36,2.68,2.42,1.03,2.21,2.1,2.57,14.44,7.79,15.02,3.01,1.69,2.48,0.83,2.1,1.38,1.07,0.75,6.32,0.63,2.28,7.9,2.63,67.44,4.21,2.95,42.36,2.26,17386.8,34246.72,269.99,0.07,33.11,36.62,21.07,13.17,299.0,5268.73,80.79,34.25,92.91,168.6,904.46,707.99,1949.43,1535.46,7903.09,5795.6,2720.42,1.82,1
Krefeld,Germany,13.17,52.69,8.32,3.69,3.06,2.42,2.99,2.37,1.0,1.4,2.1,2.1,12.07,6.13,10.89,2.21,1.68,1.96,0.83,0.73,1.05,1.09,0.62,3.42,0.56,1.16,7.38,2.95,80.08,3.16,2.0,34.14,2.32,12644.94,18967.41,214.76,0.2,29.5,22.83,,11.59,149.1,,57.96,47.42,94.84,126.45,569.02,,,,,,2423.61,1.73,0
Mainz,Germany,8.43,42.68,7.38,4.21,3.16,3.24,2.81,2.18,1.06,2.46,2.07,2.89,13.53,8.45,14.75,2.97,1.73,2.48,0.83,1.77,1.68,1.16,0.68,9.48,0.6,1.68,7.59,3.11,85.99,5.27,2.53,26.55,2.32,24683.98,23266.69,345.63,0.31,36.88,35.56,21.07,15.28,758.7,5795.6,108.89,52.69,97.47,158.06,843.0,724.45,1861.62,1896.74,5795.6,4214.98,3090.99,1.47,1
Lubeck,Germany,12.64,55.32,8.43,5.16,3.85,3.75,2.45,2.45,0.86,1.64,2.62,2.16,12.43,10.27,12.89,2.53,1.68,2.45,0.83,0.8,1.36,1.07,0.61,4.74,0.68,1.33,7.9,3.0,68.49,4.11,1.9,25.29,2.32,26870.5,25992.38,190.77,0.15,38.99,26.34,23.88,12.64,305.59,,76.4,37.67,85.88,93.57,658.59,526.87,1264.49,1001.06,,,2370.93,2.05,0
Erfurt,Germany,10.01,42.15,10.01,3.74,3.16,3.02,2.21,2.37,0.93,2.37,2.07,2.25,22.29,7.71,21.07,3.5,1.68,2.1,0.83,0.95,0.98,1.25,0.36,6.32,0.69,1.0,7.11,2.21,63.75,4.95,1.9,31.61,2.24,20252.98,19666.4,254.97,0.09,34.24,28.98,17.39,11.06,89.57,10537.45,82.54,38.28,98.35,176.5,579.56,437.3,1211.81,807.87,4162.29,3124.35,2711.29,2.53,0
Oberhausen,Germany,13.17,44.78,8.32,3.69,3.16,2.42,1.98,1.45,0.97,1.4,2.1,2.05,12.07,6.13,10.89,2.5,1.68,1.96,1.05,0.73,0.94,0.93,0.23,5.26,0.89,1.68,7.17,2.69,85.88,3.48,2.0,30.35,2.32,12644.94,18967.41,214.76,0.09,31.35,20.2,0.0,9.75,93.78,3793.48,57.96,54.0,94.84,126.45,,1053.75,,,,,,1.73,0
Rostock,Germany,12.64,47.42,8.43,4.48,3.16,2.99,2.02,2.33,0.96,1.73,1.96,2.31,9.69,6.63,12.64,2.07,1.68,2.07,0.83,1.84,1.02,1.12,0.52,5.26,0.62,1.5,7.48,2.53,65.33,3.06,2.53,31.61,2.28,24236.14,42149.81,222.28,0.1,36.88,21.43,24.59,10.27,173.87,4267.67,77.19,59.8,91.94,104.85,882.51,523.36,1535.83,983.5,3863.73,3020.74,2528.99,2.23,0
Kassel,Germany,14.75,42.15,9.48,4.21,4.43,3.52,2.99,2.66,0.93,1.36,2.07,2.25,13.07,7.71,10.53,2.1,1.73,2.1,0.83,0.68,0.94,1.05,0.52,5.26,0.56,1.57,7.59,3.27,85.88,3.69,1.9,31.61,2.32,23401.05,19666.4,398.08,0.1,28.98,22.38,14.75,10.54,316.12,10537.45,80.79,35.12,70.25,126.45,579.56,421.5,1264.49,758.7,5795.6,4214.98,2528.99,2.82,0
Hagen,Germany,13.7,52.69,9.48,3.69,3.06,2.85,2.36,2.04,1.06,1.94,2.19,3.44,12.26,7.82,14.05,2.77,1.68,2.3,1.41,2.03,1.05,1.61,0.65,5.27,0.56,1.58,7.38,2.95,73.76,3.69,2.0,31.61,2.21,24441.62,26343.63,279.73,0.12,35.39,52.69,16.86,12.64,245.87,12223.44,86.27,30.56,73.76,114.16,421.5,368.81,,,2107.49,1475.24,3055.86,1.97,0
Potsdam,Germany,10.54,47.42,8.43,3.69,3.69,3.14,2.24,1.76,1.03,1.04,2.3,2.4,11.03,7.26,10.53,2.07,1.68,1.72,1.01,1.42,1.11,1.19,0.42,5.79,0.56,1.26,7.59,2.37,45.31,3.69,2.21,26.87,2.3,23182.39,25835.73,198.2,0.09,32.9,36.35,21.07,10.54,126.45,5057.98,86.06,42.15,90.32,84.3,1053.75,605.9,1887.96,1159.12,9483.71,6322.47,2318.24,1.67,0
